"date" "gp.nb" "behaviour" "gp.form" "gp.class" "adult.tot" "adult.m" "adult.f" "young.tot" "boat.dist"
"37" "21/02/2015" 4 "foraging" "loose" "Adults" 4 NA NA NA "no"
"38" "21/02/2015" 2 "resting" "loose" "Adults" 2 NA NA NA "no"
"39" "22/02/2015" 3 "foraging" "loose" "Adults+young" 2 NA 1 1 "approach"
"40" "25/02/2015" 6 "travelling" "loose" "Adults+young" 5 1 1 1 "approach"
"41" "25/02/2015" 1 "foraging" NA NA 1 1 NA NA "no"
"42" "25/02/2015" 2 "socializing" "tight" "Female+calf" 1 NA 1 NA "no"
"43" "27/02/2015" 6 "foraging" "loose" "Adults+young" 5 NA 1 1 "approach"
"44" "16/03/2015" 6 "foraging" "tight" "Adults+young" 4 NA 2 2 "approach"
"45" "25/03/2015" 2 "travelling" "loose" "Adults" 2 NA NA NA "no"
"46" "27/03/2015" 7 "travelling" "loose" "Adults+young" 7 NA NA 1 "no"
"47" "28/03/2015" 9 "travelling" "loose" "Adults" 9 NA 1 NA "approach"
"48" "30/03/2015" 6 "travelling" "loose" "Adults" 6 NA 1 NA "approach"
"49" "29/07/2015" 7 "travelling" "dispersed" "Adults+young" 4 NA 3 3 "no"
"50" "11/08/2015" 2 "travelling" "tight" "Adults" 2 NA NA NA "approach"
"51" "11/08/2015" 4 "foraging" "variable" "Adults" 4 NA NA NA "no"
"52" "13/08/2015" 7 "travelling" "dispersed" "Adults+young" 4 1 2 2 "avoidance"
"53" "19/08/2015" 7 "travelling" "loose" "Adults+young" 5 1 2 2 "no"
"54" "22/08/2015" 8 "travelling" "loose" "Adults+young" 6 NA 2 2 "approach"
"55" "28/08/2015" 8 "milling" "loose" "Adults+young" 6 NA 1 2 "avoidance"
"56" "01/09/2015" 6 "socializing" "variable" "Adults+young" 4 1 3 2 "no"
"57" "09/09/2015" 2 "foraging" "variable" "Adults" 2 1 NA NA "avoidance"
"58" "15/09/2015" 9 "foraging" "variable" "Adults+young" 6 1 3 3 "no"
"59" "17/09/2015" 2 "travelling" "tight" "Adults" 2 NA NA NA "approach"
"60" "17/09/2015" 2 "socializing" "tight" "Adults" 2 NA NA NA "avoidance"
"61" "18/09/2015" 4 "travelling" "loose" "Adults+young" 5 NA 2 1 "no"
"62" "23/09/2015" 8 "travelling" "tight" "Adults+young" 5 NA 3 3 "approach"
"63" "30/09/2015" 2 "foraging" "dispersed" "Adults" 2 NA NA NA "avoidance"
"64" "30/09/2015" 1 "foraging" NA "Adults" 1 NA NA NA "avoidance"
"65" "02/10/2015" 1 "travelling" NA "Adults" 1 NA NA NA "avoidance"
"66" "08/10/2015" 5 "resting" "loose" "Adults+young" 3 NA 2 2 "no"
"67" "10/10/2015" 3 "travelling" "loose" "Adults" 3 NA NA NA "no"
"68" "10/10/2015" 5 "travelling" "loose" "Adults+young" 4 1 2 1 "avoidance"
"69" "18/10/2015" 3 "travelling" "loose" "Adults" 3 NA NA NA "no"
